layer,threshold,precision,recall,f1,hallucinations_caught,hallucinations_caught_pct,true_responses_filtered,true_responses_filtered_pct
5,-0.001407623291015625,0.38095238095238093,1.0,0.5517241379310345,8,100.0,13,100.0
10,-0.0012102127075195312,0.38095238095238093,1.0,0.5517241379310345,8,100.0,13,100.0
15,-0.00164794921875,0.38095238095238093,1.0,0.5517241379310345,8,100.0,13,100.0
20,-0.0007834434509277344,0.38095238095238093,1.0,0.5517241379310345,8,100.0,13,100.0
25,-0.001277923583984375,0.38095238095238093,1.0,0.5517241379310345,8,100.0,13,100.0
